round,mean_acc,tprd,wtpr,btpr,tprsd,group_0_mean_tpr,group_0_min_tpr,group_0_count,group_1_mean_tpr,group_1_min_tpr,group_1_count,group_2_mean_tpr,group_2_min_tpr,group_2_count,group_3_mean_tpr,group_3_min_tpr,group_3_count,group_4_mean_tpr,group_4_min_tpr,group_4_count
0,10.048,4.912280701754387,8.421052631578947,13.333333333333334,1.7636448283588473,10.199218412410335,8.421052631578947,8,9.310344827586206,8.620689655172415,2,0,0,0,0,0,0,0,0,0
1,10.048,4.912280701754387,8.421052631578947,13.333333333333334,2.0238940890355983,10.199218412410335,8.421052631578947,8,10.977011494252874,8.620689655172415,2,0,0,0,0,0,0,0,0,0
2,12.902,12.0508166969147,6.896551724137931,18.94736842105263,3.8212303093168183,13.165618788350185,8.620689655172415,8,8.448275862068964,6.896551724137931,2,0,0,0,0,0,0,0,0,0
3,27.332,24.010889292196005,8.620689655172415,32.63157894736842,8.306910320225775,28.86217429349235,17.24137931034483,8,10.977011494252874,8.620689655172415,2,0,0,0,0,0,0,0,0,0
4,27.895,30.60344827586207,6.896551724137931,37.5,11.59103571750006,29.133582879612824,13.333333333333334,8,10.114942528735632,6.896551724137931,2,0,0,0,0,0,0,0,0,0
5,31.04,27.01754385964912,16.666666666666668,43.68421052631579,11.286958533487882,32.55038863322098,16.666666666666668,8,16.95402298850575,16.666666666666668,2,0,0,0,0,0,0,0,0,0
6,38.98,37.19298245614035,13.333333333333334,50.526315789473685,12.64726755342096,41.10243280615332,25.862068965517242,8,14.425287356321839,13.333333333333334,2,0,0,0,0,0,0,0,0,0
7,40.742,45.96491228070175,16.666666666666668,62.63157894736842,16.43028098958335,42.613841986431595,23.333333333333332,8,17.816091954022987,16.666666666666668,2,0,0,0,0,0,0,0,0,0
8,37.458,42.52268602540835,13.793103448275861,56.31578947368421,15.582539514135881,39.31640118615504,20.0,8,15.229885057471265,13.793103448275861,2,0,0,0,0,0,0,0,0,0
9,37.995,42.45614035087719,13.333333333333334,55.78947368421053,16.182807229415843,40.18928652450091,20.0,8,14.425287356321839,13.333333333333334,2,0,0,0,0,0,0,0,0,0
10,39.952,44.561403508771924,13.333333333333334,57.89473684210526,17.78577145045117,42.43781598392533,20.0,8,13.563218390804597,13.333333333333334,2,0,0,0,0,0,0,0,0,0
11,44.822,60.09074410163339,5.172413793103448,65.26315789473684,19.700805931885,46.7087235869847,30.0,8,7.586206896551724,5.172413793103448,2,0,0,0,0,0,0,0,0,0
12,43.515,45.614035087719294,13.333333333333334,58.94736842105263,17.10875411628158,45.516424412323914,26.666666666666668,8,13.563218390804597,13.333333333333334,2,0,0,0,0,0,0,0,0,0
13,45.278,50.27223230490017,15.517241379310345,65.78947368421052,17.234955425658995,48.19895914354852,29.310344827586206,8,17.758620689655174,15.517241379310345,2,0,0,0,0,0,0,0,0,0
14,42.863,49.29824561403508,13.333333333333334,62.63157894736842,18.426391934305112,44.484095475758366,20.0,8,15.28735632183908,13.333333333333334,2,0,0,0,0,0,0,0,0,0
15,45.545,52.456140350877185,13.333333333333334,65.78947368421052,19.212008606428345,48.58560733730879,30.0,8,13.563218390804597,13.333333333333334,2,0,0,0,0,0,0,0,0,0
16,45.302,48.771929824561404,13.333333333333334,62.10526315789474,17.351220032403152,48.27865055958863,29.310344827586206,8,13.563218390804597,13.333333333333334,2,0,0,0,0,0,0,0,0,0
17,46.422,57.02359346642468,10.344827586206897,67.36842105263158,19.125041448003294,48.85731975412669,32.758620689655174,8,11.839080459770116,10.344827586206897,2,0,0,0,0,0,0,0,0,0
18,46.582,41.03448275862069,18.96551724137931,60.0,14.636300512041412,49.18411330049261,32.758620689655174,8,19.482758620689655,18.96551724137931,2,0,0,0,0,0,0,0,0,0
19,46.622,59.824561403508774,13.333333333333334,73.15789473684211,21.069028735209436,49.70996321623023,29.310344827586206,8,13.563218390804597,13.333333333333334,2,0,0,0,0,0,0,0,0,0
20,47.07,42.10526315789474,20.0,62.10526315789474,15.469851260156341,49.1925462902947,33.333333333333336,8,20.344827586206897,20.0,2,0,0,0,0,0,0,0,0,0
21,45.495,50.877192982456144,13.333333333333334,64.21052631578948,18.786310893698943,49.61328428830697,22.413793103448278,8,13.563218390804597,13.333333333333334,2,0,0,0,0,0,0,0,0,0
22,46.493,55.15426497277677,13.793103448275861,68.94736842105263,20.013814850298136,49.594318500993865,26.666666666666668,8,16.89655172413793,13.793103448275861,2,0,0,0,0,0,0,0,0,0
23,49.095,64.24682395644282,12.068965517241379,76.3157894736842,21.998969846778326,52.62022918287097,27.586206896551722,8,12.701149425287356,12.068965517241379,2,0,0,0,0,0,0,0,0,0
24,45.1,62.80701754385965,6.666666666666667,69.47368421052632,21.97610552514564,47.43397421355112,23.333333333333332,8,8.505747126436782,6.666666666666667,2,0,0,0,0,0,0,0,0,0
25,48.455,51.47005444646098,13.793103448275861,65.26315789473684,17.72010011872665,51.33695634560539,32.758620689655174,8,15.229885057471265,13.793103448275861,2,0,0,0,0,0,0,0,0,0
26,49.802,51.32486388384754,15.517241379310345,66.84210526315789,18.833128570775393,52.26638120084695,33.333333333333336,8,16.091954022988507,15.517241379310345,2,0,0,0,0,0,0,0,0,0
27,48.25,64.03508771929825,13.333333333333334,77.36842105263158,22.651447712261156,52.05377398236972,27.586206896551722,8,15.28735632183908,13.333333333333334,2,0,0,0,0,0,0,0,0,0
28,48.855,68.3666061705989,6.896551724137931,75.26315789473684,23.011944771299557,51.95477243755941,31.03448275862069,8,8.448275862068964,6.896551724137931,2,0,0,0,0,0,0,0,0,0
29,49.895,61.228070175438596,6.666666666666667,67.89473684210526,20.160748079933036,51.85617600034569,36.666666666666664,8,9.367816091954023,6.666666666666667,2,0,0,0,0,0,0,0,0,0
30,50.85,64.03508771929825,13.333333333333334,77.36842105263158,23.606966510420406,55.111553128510934,29.310344827586206,8,13.563218390804597,13.333333333333334,2,0,0,0,0,0,0,0,0,0
31,47.05,60.877192982456144,13.333333333333334,74.21052631578948,20.04713858521509,51.11254024068793,22.413793103448278,8,19.597701149425287,13.333333333333334,2,0,0,0,0,0,0,0,0,0
32,49.922,61.99637023593466,13.793103448275861,75.78947368421052,20.969902915968323,53.94351989888514,25.862068965517242,8,16.89655172413793,13.793103448275861,2,0,0,0,0,0,0,0,0,0
33,52.492,60.35087719298246,13.333333333333334,73.6842105263158,20.589333828658532,55.49553436392706,34.48275862068966,8,13.563218390804597,13.333333333333334,2,0,0,0,0,0,0,0,0,0
34,56.748,59.600725952813065,17.24137931034483,76.84210526315789,19.567173527327387,58.46327159493561,43.333333333333336,8,18.620689655172413,17.24137931034483,2,0,0,0,0,0,0,0,0,0
35,52.738,59.649122807017534,16.666666666666668,76.3157894736842,20.031092576314517,56.3920374751534,31.03448275862069,8,19.54022988505747,16.666666666666668,2,0,0,0,0,0,0,0,0,0
36,58.692,58.92921960072595,18.96551724137931,77.89473684210526,19.533867304682914,60.84722177210267,44.827586206896555,8,19.482758620689655,18.96551724137931,2,0,0,0,0,0,0,0,0,0
37,51.447,58.771929824561404,13.333333333333334,72.10526315789474,20.145991259034126,54.55045885187106,32.758620689655174,8,13.563218390804597,13.333333333333334,2,0,0,0,0,0,0,0,0,0
38,54.205,56.58802177858439,15.517241379310345,72.10526315789474,19.242764779456003,56.516925395385016,40.0,8,17.758620689655174,15.517241379310345,2,0,0,0,0,0,0,0,0,0
39,52.048,62.1415607985481,12.068965517241379,74.21052631578948,20.45782189318828,54.72630255595887,36.666666666666664,8,16.03448275862069,12.068965517241379,2,0,0,0,0,0,0,0,0,0
40,55.755,59.649122807017534,16.666666666666668,76.3157894736842,20.052891512621407,57.900658164808576,43.10344827586207,8,16.95402298850575,16.666666666666668,2,0,0,0,0,0,0,0,0,0
41,49.293,69.64912280701753,6.666666666666667,76.3157894736842,24.34739035115761,51.58074334543255,26.666666666666668,8,6.781609195402298,6.666666666666667,2,0,0,0,0,0,0,0,0,0
42,51.968,58.02177858439201,17.24137931034483,75.26315789473684,21.454786137907742,54.877596739694056,30.0,8,18.620689655172413,17.24137931034483,2,0,0,0,0,0,0,0,0,0
43,54.63,66.66666666666667,13.333333333333334,80.0,22.62800285533882,57.91153530377669,34.48275862068966,8,13.563218390804597,13.333333333333334,2,0,0,0,0,0,0,0,0,0
44,55.092,64.77313974591651,12.068965517241379,76.84210526315789,21.481849635352308,57.716786578515254,37.93103448275862,8,12.701149425287356,12.068965517241379,2,0,0,0,0,0,0,0,0,0
45,54.075,64.24682395644282,12.068965517241379,76.3157894736842,20.6758309097363,55.77986588237836,36.666666666666664,8,16.03448275862069,12.068965517241379,2,0,0,0,0,0,0,0,0,0
46,53.138,66.14035087719299,13.333333333333334,79.47368421052632,22.187781545030557,55.70727060107164,36.666666666666664,8,14.425287356321839,13.333333333333334,2,0,0,0,0,0,0,0,0,0
47,49.028,61.9298245614035,13.333333333333334,75.26315789473684,22.609917825501697,52.62813553279751,30.0,8,13.563218390804597,13.333333333333334,2,0,0,0,0,0,0,0,0,0
48,56.602,66.14035087719299,13.333333333333334,79.47368421052632,22.83609318444459,59.19608422997148,40.0,8,13.563218390804597,13.333333333333334,2,0,0,0,0,0,0,0,0,0
49,53.073,69.64912280701753,6.666666666666667,76.3157894736842,23.686776817252582,56.89426961801054,31.03448275862069,8,8.505747126436782,6.666666666666667,2,0,0,0,0,0,0,0,0,0
50,54.51,63.508771929824555,13.333333333333334,76.84210526315789,21.238107644770707,56.81597582317863,40.0,8,14.425287356321839,13.333333333333334,2,0,0,0,0,0,0,0,0,0
51,51.238,62.98245614035087,13.333333333333334,76.3157894736842,22.59309190028583,55.864789938207586,24.137931034482758,8,13.563218390804597,13.333333333333334,2,0,0,0,0,0,0,0,0,0
52,54.495,66.84210526315789,10.0,76.84210526315789,22.298194039921018,56.36185020741509,40.0,8,10.172413793103448,10.0,2,0,0,0,0,0,0,0,0,0
53,55.268,67.36842105263158,10.0,77.36842105263158,22.76798966820343,57.90019229107251,39.6551724137931,8,10.172413793103448,10.0,2,0,0,0,0,0,0,0,0,0
54,56.772,61.560798548094375,18.96551724137931,80.52631578947368,21.595511517693385,59.745957026186154,40.0,8,19.482758620689655,18.96551724137931,2,0,0,0,0,0,0,0,0,0
55,56.795,70.52631578947368,10.0,80.52631578947368,22.416642849066516,59.8097142100942,37.93103448275862,8,14.482758620689655,10.0,2,0,0,0,0,0,0,0,0,0
56,56.56,68.42105263157895,10.0,78.42105263157895,22.355877245415257,59.733803798288825,36.206896551724135,8,12.758620689655173,10.0,2,0,0,0,0,0,0,0,0,0
57,54.018,68.24561403508773,13.333333333333334,81.57894736842105,23.614088227095497,57.18994414916602,36.206896551724135,8,13.563218390804597,13.333333333333334,2,0,0,0,0,0,0,0,0,0
58,54.192,65.6140350877193,13.333333333333334,78.94736842105263,22.083634836181734,57.36538274565724,36.206896551724135,8,15.28735632183908,13.333333333333334,2,0,0,0,0,0,0,0,0,0
59,52.525,66.0617059891107,15.517241379310345,81.57894736842105,22.785370673265213,55.80627214588195,33.333333333333336,8,17.758620689655174,15.517241379310345,2,0,0,0,0,0,0,0,0,0
